Run1,Run2,Run3,Run4,Run5
1.28495e-06,1.30681e-06,1.42181e-06,1.27104e-06,1.25865e-06
1.28066e-06,1.30681e-06,1.40712e-06,1.29408e-06,1.31207e-06
1.31073e-06,1.32151e-06,1.4389e-06,1.32623e-06,1.38155e-06
1.40421e-06,1.42052e-06,1.4757e-06,1.34343e-06,1.38432e-06
1.48323e-06,1.5032e-06,1.47679e-06,1.37431e-06,1.45821e-06
1.52118e-06,1.5032e-06,1.53301e-06,1.46192e-06,1.494e-06
1.50706e-06,1.54421e-06,1.57735e-06,1.48285e-06,1.52973e-06
1.5698e-06,1.63206e-06,1.6599e-06,1.55263e-06,1.66981e-06
1.61738e-06,1.73596e-06,1.68372e-06,1.62077e-06,1.68411e-06
1.67143e-06,1.73152e-06,1.76159e-06,1.65663e-06,1.76183e-06
1.79856e-06,1.78542e-06,1.82641e-06,1.77799e-06,1.84909e-06
1.83827e-06,1.85182e-06,2.01894e-06,1.8147e-06,1.90691e-06
1.85699e-06,1.92809e-06,2.00012e-06,1.91974e-06,1.91363e-06
1.96208e-06,2.00733e-06,2.00852e-06,1.96419e-06,2.0028e-06
2.10115e-06,2.1443e-06,2.17372e-06,2.00345e-06,2.1283e-06
2.13685e-06,2.16018e-06,2.18363e-06,2.17422e-06,2.09856e-06
2.17808e-06,2.22786e-06,2.28683e-06,2.17422e-06,2.16921e-06
2.27652e-06,2.31816e-06,2.37807e-06,2.29916e-06,2.20617e-06
2.26939e-06,2.39831e-06,2.56222e-06,2.34969e-06,2.25933e-06
2.34752e-06,2.47277e-06,2.51378e-06,2.49279e-06,2.29297e-06
2.46888e-06,2.58593e-06,2.68629e-06,2.49279e-06,2.38245e-06
2.4611e-06,2.56038e-06,2.77378e-06,2.51688e-06,2.43755e-06
2.60417e-06,2.7137e-06,2.78586e-06,2.57429e-06,2.49532e-06
2.63443e-06,2.71849e-06,2.81546e-06,2.64078e-06,2.56296e-06
2.72544e-06,2.85819e-06,2.83742e-06,2.69947e-06,2.64435e-06
2.84263e-06,2.85819e-06,2.9398e-06,2.78356e-06,2.71846e-06
2.86011e-06,2.96689e-06,3.01843e-06,2.86675e-06,2.82145e-06
2.91994e-06,3.01884e-06,3.1116e-06,2.91971e-06,2.86882e-06
3.06379e-06,3.05097e-06,3.12897e-06,3.00625e-06,2.95045e-06
3.06275e-06,3.09593e-06,3.1771e-06,3.00597e-06,2.95045e-06
3.2192e-06,3.20471e-06,3.28563e-06,3.04617e-06,2.97089e-06
3.23668e-06,3.22174e-06,3.34485e-06,3.14652e-06,3.07428e-06
3.3691e-06,3.33887e-06,3.3556e-06,3.18215e-06,3.07428e-06
3.39905e-06,3.33887e-06,3.3556e-06,3.20978e-06,3.13864e-06
3.41955e-06,3.45992e-06,3.3842e-06,3.23892e-06,3.13864e-06
3.55824e-06,3.54906e-06,3.48882e-06,3.28593e-06,3.22574e-06
3.55824e-06,3.66629e-06,3.48882e-06,3.29926e-06,3.35002e-06
3.6473e-06,3.67709e-06,3.5195e-06,3.36973e-06,3.35002e-06
3.6473e-06,3.7116e-06,3.55401e-06,3.38472e-06,3.39669e-06
3.71036e-06,3.75757e-06,3.58733e-06,3.4367e-06,3.39669e-06
3.71036e-06,3.7703e-06,3.58733e-06,3.47832e-06,3.40597e-06
3.71036e-06,3.81785e-06,3.6426e-06,3.47832e-06,3.40597e-06
3.74845e-06,3.84889e-06,3.6426e-06,3.47893e-06,3.45134e-06
3.74845e-06,3.84693e-06,3.67761e-06,3.50372e-06,3.45134e-06
3.74845e-06,3.85357e-06,3.69071e-06,3.54699e-06,3.46288e-06
3.74845e-06,3.8723e-06,3.70107e-06,3.5485e-06,3.56792e-06
3.74845e-06,3.87261e-06,3.71435e-06,3.5485e-06,3.56792e-06
3.74845e-06,3.8746e-06,3.71435e-06,3.5485e-06,3.56792e-06
3.74845e-06,3.89631e-06,3.72027e-06,3.5485e-06,3.56792e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.5485e-06,3.61693e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.67083e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.69067e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.69067e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.76624e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.64379e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.70228e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.7614e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.7614e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.78228e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.78228e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.86279e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.74845e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.7522e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.73369e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.74e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.84668e-06,3.88482e-06,3.77998e-06
3.85404e-06,3.89832e-06,3.84668e-06,3.88482e-06,3.7834e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.86648e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.9034e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.9034e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.9034e-06,3.88482e-06,3.90495e-06
3.85404e-06,3.89832e-06,3.9034e-06,3.88482e-06,3.90495e-06
