Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
5.329075e+05,1.876498e-06,59,9.842334e-01,1.692492e+04,5.121429e+00
5.065318e+05,1.974210e-06,56,9.807889e-01,1.726848e+04,5.049621e+00
5.060884e+05,1.975939e-06,56,9.824582e-01,1.652826e+04,5.078018e+00
5.325926e+05,1.877608e-06,59,9.955072e-01,1.639915e+04,5.053370e+00
5.230026e+05,1.912036e-06,58,9.957048e-01,1.518136e+04,5.002971e+00
5.408487e+05,1.848946e-06,60,9.927931e-01,1.539018e+04,5.153449e+00
5.146814e+05,1.942949e-06,57,9.980567e-01,1.608165e+04,4.978845e+00
5.237778e+05,1.909207e-06,58,9.888254e-01,1.647542e+04,5.035903e+00
4.803714e+05,2.081723e-06,53,9.809921e-01,1.797146e+04,4.984069e+00
5.062687e+05,1.975236e-06,56,9.904950e-01,1.682925e+04,5.019886e+00
5.325889e+05,1.877621e-06,59,9.943432e-01,1.639303e+04,5.042240e+00
5.054085e+05,1.978598e-06,56,9.992064e-01,1.539310e+04,4.981818e+00
4.901198e+05,2.040318e-06,54,9.999599e-01,1.945369e+04,5.006947e+00
4.883613e+05,2.047664e-06,54,9.966516e-01,1.651800e+04,5.048117e+00
5.148128e+05,1.942454e-06,57,9.941048e-01,1.630103e+04,5.032502e+00
5.054140e+05,1.978576e-06,56,9.804765e-01,1.540226e+04,4.982855e+00
5.057827e+05,1.977133e-06,56,9.904020e-01,1.601790e+04,5.070790e+00
5.490277e+05,1.821402e-06,61,9.806925e-01,1.425244e+04,5.129289e+00
5.060482e+05,1.976096e-06,56,9.676619e-01,1.646107e+04,5.032680e+00
4.987677e+05,2.004941e-06,55,9.966500e-01,1.909886e+04,5.049338e+00
5.071315e+05,1.971875e-06,56,9.972009e-01,1.826958e+04,4.978474e+00
5.239407e+05,1.908613e-06,58,9.963264e-01,1.674743e+04,5.011007e+00
5.074900e+05,1.970482e-06,56,9.919396e-01,1.886816e+04,5.076976e+00
5.406149e+05,1.849745e-06,60,9.862556e-01,1.499992e+04,5.147804e+00
5.060804e+05,1.975971e-06,56,9.949922e-01,1.651488e+04,5.036746e+00
5.153399e+05,1.940467e-06,57,9.984747e-01,1.718105e+04,5.079870e+00
5.335172e+05,1.874354e-06,59,9.982940e-01,1.794276e+04,5.096321e+00
5.154123e+05,1.940194e-06,57,9.987308e-01,1.730178e+04,5.095748e+00
5.234011e+05,1.910581e-06,58,9.847072e-01,1.584663e+04,5.032748e+00
5.147863e+05,1.942554e-06,57,9.986110e-01,1.625667e+04,5.065514e+00
5.409705e+05,1.848530e-06,60,9.920844e-01,1.559341e+04,5.024161e+00
5.055552e+05,1.978023e-06,56,9.928218e-01,1.563805e+04,5.053409e+00
5.228733e+05,1.912509e-06,58,9.937347e-01,1.496542e+04,5.013845e+00
5.056863e+05,1.977510e-06,56,9.950635e-01,1.585693e+04,5.040939e+00
4.882896e+05,2.047965e-06,54,9.881684e-01,1.639820e+04,5.027928e+00
5.155338e+05,1.939737e-06,57,9.787505e-01,1.750469e+04,5.040583e+00
4.891902e+05,2.044195e-06,54,9.826991e-01,1.790184e+04,5.071980e+00
5.316516e+05,1.880931e-06,59,9.757289e-01,1.482821e+04,5.096779e+00
5.140947e+05,1.945167e-06,57,9.977756e-01,1.510215e+04,5.099215e+00
5.322852e+05,1.878692e-06,59,9.693368e-01,1.588598e+04,5.090807e+00
