Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.683639e+05,3.726284e-06,22,7.847347e+00,1.225925e+05,8.268889e+00
2.712171e+05,3.687083e-06,21,8.700535e+00,1.421479e+05,8.262470e+00
2.605639e+05,3.837831e-06,20,8.001640e+00,1.391550e+05,8.242619e+00
2.666983e+05,3.749555e-06,22,7.236761e+00,1.198118e+05,8.119066e+00
2.646589e+05,3.778449e-06,22,7.821854e+00,1.164072e+05,8.185938e+00
2.671458e+05,3.743274e-06,22,7.470254e+00,1.205590e+05,8.152009e+00
2.704850e+05,3.697063e-06,22,8.586766e+00,1.261335e+05,8.205024e+00
2.647213e+05,3.777558e-06,22,7.767395e+00,1.165113e+05,8.236353e+00
2.570572e+05,3.890185e-06,21,7.396497e+00,1.185086e+05,8.167739e+00
2.646049e+05,3.779219e-06,22,7.121839e+00,1.163171e+05,8.174270e+00
2.875915e+05,3.477155e-06,25,7.067907e+00,1.103155e+05,8.213479e+00
2.797608e+05,3.574482e-06,24,7.302963e+00,1.120347e+05,8.329966e+00
2.545221e+05,3.928933e-06,19,8.542910e+00,1.438607e+05,8.222438e+00
2.640796e+05,3.786737e-06,22,6.853376e+00,1.154401e+05,8.133679e+00
2.664789e+05,3.752643e-06,23,7.349120e+00,1.046534e+05,8.175211e+00
2.680174e+05,3.731101e-06,22,8.096828e+00,1.220140e+05,8.310142e+00
2.644003e+05,3.782145e-06,21,7.344661e+00,1.307675e+05,8.181961e+00
2.602278e+05,3.842787e-06,21,7.073724e+00,1.238019e+05,8.151499e+00
2.679698e+05,3.731764e-06,22,7.438973e+00,1.219346e+05,8.181722e+00
2.668452e+05,3.747490e-06,19,9.796827e+00,1.644336e+05,8.279421e+00
2.609196e+05,3.832598e-06,22,7.342979e+00,1.101647e+05,8.286133e+00
2.635711e+05,3.794042e-06,21,8.537329e+00,1.293834e+05,8.251163e+00
2.697629e+05,3.706959e-06,20,8.516872e+00,1.545123e+05,8.190336e+00
2.575391e+05,3.882906e-06,22,6.013884e+00,1.045210e+05,8.121623e+00
2.573011e+05,3.886498e-06,20,8.597390e+00,1.337079e+05,8.263531e+00
2.579472e+05,3.876762e-06,20,8.106431e+00,1.347867e+05,8.191689e+00
2.503984e+05,3.993636e-06,20,8.136242e+00,1.221843e+05,8.246691e+00
2.661305e+05,3.757555e-06,21,8.300867e+00,1.336561e+05,8.322434e+00
2.665460e+05,3.751698e-06,21,8.878892e+00,1.343498e+05,8.249012e+00
2.724614e+05,3.670244e-06,22,9.324759e+00,1.294331e+05,8.314413e+00
2.672150e+05,3.742305e-06,21,9.226440e+00,1.354666e+05,8.207661e+00
2.564908e+05,3.898775e-06,22,6.577867e+00,1.027711e+05,8.154865e+00
2.807891e+05,3.561392e-06,25,6.212842e+00,9.895922e+04,8.076038e+00
2.522216e+05,3.964768e-06,21,6.725325e+00,1.104359e+05,8.122392e+00
2.679855e+05,3.731545e-06,22,7.150095e+00,1.219608e+05,8.117204e+00
2.688931e+05,3.718950e-06,22,7.551776e+00,1.234759e+05,8.162046e+00
2.809745e+05,3.559042e-06,24,7.097192e+00,1.140610e+05,8.241650e+00
2.722293e+05,3.673375e-06,20,9.136595e+00,1.586298e+05,8.324964e+00
2.688255e+05,3.719885e-06,22,7.373463e+00,1.233632e+05,8.203839e+00
2.720975e+05,3.675153e-06,25,5.517756e+00,8.444911e+04,8.046907e+00
