Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.414595e+05,4.141481e-06,17,9.416163e+00,1.516378e+05,1.221295e+01
2.429418e+05,4.116212e-06,17,9.420506e+00,1.541124e+05,1.209037e+01
2.443030e+05,4.093277e-06,19,7.738827e+00,1.268006e+05,1.184983e+01
2.378021e+05,4.205177e-06,18,8.324497e+00,1.307397e+05,1.207014e+01
2.471971e+05,4.045355e-06,18,9.023582e+00,1.464242e+05,1.269079e+01
2.459823e+05,4.065334e-06,18,9.105171e+00,1.443961e+05,1.259247e+01
2.440963e+05,4.096743e-06,17,9.602803e+00,1.560398e+05,1.225314e+01
2.421599e+05,4.129502e-06,19,8.063864e+00,1.232228e+05,1.191757e+01
2.425912e+05,4.122161e-06,18,8.186810e+00,1.387349e+05,1.219648e+01
2.466385e+05,4.054517e-06,18,9.642491e+00,1.454916e+05,1.255062e+01
2.374923e+05,4.210663e-06,18,8.436219e+00,1.302226e+05,1.250617e+01
2.404797e+05,4.158356e-06,18,8.031257e+00,1.352098e+05,1.198775e+01
2.430985e+05,4.113559e-06,19,8.070601e+00,1.247897e+05,1.201849e+01
2.472653e+05,4.044239e-06,18,9.467574e+00,1.465381e+05,1.228086e+01
2.381629e+05,4.198806e-06,18,8.376659e+00,1.313421e+05,1.210730e+01
2.432829e+05,4.110440e-06,18,9.006947e+00,1.398897e+05,1.215347e+01
2.399275e+05,4.167925e-06,18,8.321078e+00,1.342880e+05,1.220234e+01
2.382769e+05,4.196798e-06,18,8.273674e+00,1.315324e+05,1.240986e+01
2.430372e+05,4.114596e-06,19,8.093225e+00,1.246873e+05,1.248810e+01
2.412420e+05,4.145214e-06,18,8.758313e+00,1.364825e+05,1.248348e+01
2.386252e+05,4.190672e-06,18,8.291269e+00,1.321139e+05,1.199611e+01
2.454695e+05,4.073826e-06,18,9.505091e+00,1.435400e+05,1.241527e+01
2.494549e+05,4.008741e-06,18,9.040860e+00,1.501935e+05,1.219792e+01
2.461976e+05,4.061779e-06,18,9.179007e+00,1.447555e+05,1.242429e+01
2.448521e+05,4.084099e-06,18,9.389340e+00,1.425093e+05,1.250130e+01
2.427428e+05,4.119587e-06,19,8.136843e+00,1.241958e+05,1.216413e+01
2.406682e+05,4.155097e-06,18,8.439391e+00,1.355246e+05,1.219167e+01
2.404036e+05,4.159672e-06,18,8.844064e+00,1.350827e+05,1.275033e+01
2.427507e+05,4.119452e-06,17,9.732110e+00,1.537934e+05,1.232263e+01
2.457244e+05,4.069600e-06,18,9.147518e+00,1.439656e+05,1.235517e+01
2.499757e+05,4.000388e-06,18,9.655906e+00,1.510630e+05,1.203176e+01
2.438713e+05,4.100524e-06,18,8.580337e+00,1.408719e+05,1.251137e+01
2.513885e+05,3.977906e-06,19,8.147949e+00,1.386294e+05,1.204866e+01
2.411552e+05,4.146707e-06,18,8.227124e+00,1.363375e+05,1.259848e+01
2.379263e+05,4.202982e-06,18,8.414309e+00,1.309471e+05,1.188804e+01
2.481611e+05,4.029640e-06,20,7.726035e+00,1.184493e+05,1.277486e+01
2.414341e+05,4.141917e-06,19,7.791431e+00,1.220111e+05,1.204801e+01
2.397342e+05,4.171286e-06,18,8.024705e+00,1.339654e+05,1.223794e+01
2.378445e+05,4.204428e-06,18,8.253278e+00,1.308105e+05,1.242633e+01
2.448008e+05,4.084953e-06,18,9.306891e+00,1.424238e+05,1.256013e+01
