Custo,Fitness,NumSwitches,SAIDI,ENS,Tempo
2.379586e+05,4.202412e-06,18,8.379239e+00,1.310010e+05,1.641878e+01
2.433674e+05,4.109014e-06,17,9.466814e+00,1.548228e+05,1.578066e+01
2.390441e+05,4.183329e-06,18,8.629898e+00,1.328132e+05,1.584786e+01
2.500581e+05,3.999071e-06,19,8.926579e+00,1.364083e+05,1.564253e+01
2.412034e+05,4.145878e-06,19,7.748576e+00,1.216259e+05,1.565583e+01
2.406996e+05,4.154556e-06,18,8.505502e+00,1.355769e+05,1.573786e+01
2.414489e+05,4.141662e-06,19,7.930676e+00,1.220358e+05,1.506724e+01
2.416096e+05,4.138909e-06,18,8.582129e+00,1.370961e+05,1.529219e+01
2.379926e+05,4.201810e-06,18,7.757900e+00,1.310578e+05,1.505533e+01
2.421458e+05,4.129743e-06,17,9.958478e+00,1.527835e+05,1.574075e+01
2.469032e+05,4.050170e-06,20,7.389182e+00,1.163492e+05,1.538909e+01
2.408578e+05,4.151826e-06,18,7.918893e+00,1.358412e+05,1.535343e+01
2.408594e+05,4.151800e-06,19,7.683087e+00,1.210516e+05,1.544477e+01
2.389321e+05,4.185290e-06,18,8.313160e+00,1.326261e+05,1.494488e+01
2.464740e+05,4.057223e-06,17,9.378865e+00,1.600092e+05,1.550946e+01
2.431854e+05,4.112090e-06,19,7.441770e+00,1.249346e+05,1.501303e+01
2.417609e+05,4.136319e-06,19,7.891505e+00,1.225566e+05,1.544598e+01
2.361204e+05,4.235128e-06,18,8.315462e+00,1.279322e+05,1.578086e+01
2.412167e+05,4.145649e-06,17,9.230515e+00,1.512325e+05,1.580730e+01
2.418758e+05,4.134354e-06,19,7.959678e+00,1.227484e+05,1.496977e+01
2.374588e+05,4.211257e-06,18,7.740654e+00,1.301667e+05,1.484627e+01
2.371029e+05,4.217578e-06,18,8.281548e+00,1.295725e+05,1.508595e+01
2.438490e+05,4.100899e-06,18,8.994028e+00,1.408347e+05,1.568397e+01
2.383748e+05,4.195075e-06,18,8.514338e+00,1.316958e+05,1.609929e+01
2.403458e+05,4.160673e-06,18,7.823420e+00,1.349862e+05,1.532453e+01
2.400953e+05,4.165013e-06,18,8.046488e+00,1.345681e+05,1.491403e+01
2.373483e+05,4.213217e-06,18,7.800704e+00,1.299822e+05,1.533999e+01
2.413168e+05,4.143931e-06,19,7.950768e+00,1.218151e+05,1.494427e+01
2.370862e+05,4.217876e-06,18,8.355922e+00,1.295445e+05,1.602674e+01
2.385985e+05,4.191141e-06,18,7.783707e+00,1.320693e+05,1.519508e+01
2.385059e+05,4.192769e-06,18,8.542280e+00,1.319147e+05,1.539120e+01
2.474904e+05,4.040561e-06,18,9.602494e+00,1.469138e+05,1.582644e+01
2.444341e+05,4.091083e-06,18,9.015068e+00,1.418115e+05,1.505457e+01
2.405308e+05,4.157472e-06,17,9.711256e+00,1.500873e+05,1.537562e+01
2.376921e+05,4.207124e-06,18,8.381729e+00,1.305560e+05,1.511122e+01
2.445734e+05,4.088753e-06,19,7.761937e+00,1.272519e+05,1.557020e+01
2.416490e+05,4.138234e-06,17,9.358211e+00,1.519541e+05,1.578053e+01
2.431438e+05,4.112792e-06,18,8.474505e+00,1.396575e+05,1.505128e+01
2.389010e+05,4.185835e-06,18,7.942725e+00,1.325742e+05,1.516822e+01
2.398670e+05,4.168978e-06,18,7.978985e+00,1.341869e+05,1.617162e+01
